study_ID,temp_init,temp_regime,temp_range,treatment_name_study,mean_temp,min_temp,max_temp,DTR,fluc_type,ramp_type,mean_time,min_time,max_time,trait,trait_def,units,response,sample_size,variance_type,variance_value,qual_measure,ind_pop,order,family,genus,species,LS_treat,LS_measure,vert_invert,plant_animal,lab_wild,lat,long,body_size,thermoregulate,notes,notes2,
58,20 _ .5,0,10,,20,15,15,0,,,,51840,,Body Mass,Body mass of Chinese bream investigating specific dynamin action,g,7.85,8,2 (SE),0.15,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,"All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. For the time at certain temperatures the fish was tested in I put 51840 minutes (36 hours), 24 hr for acclimation, and 12 hr examination after anethesia.",,
58,20 _ .5,0,10,,20,20,20,0,,,,51840,,Body Mass,Body mass of Chinese bream investigating specific dynamin action,g,8.26,8,2 (SE),0.13,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,"All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. For the time at certain temperatures the fish was tested in I put 51840 minutes (36 hours), 24 hr for acclimation, and 12 hr examination after anethesia.",,
58,20 _ .5,0,10,,20,25,25,0,,,,51840,,Body Mass,Body mass of Chinese bream investigating specific dynamin action,g,8.47,8,2 (SE),0.06,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,"All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. For the time at certain temperatures the fish was tested in I put 51840 minutes (36 hours), 24 hr for acclimation, and 12 hr examination after anethesia.",,
58,20 _ .5,1,10,,20,15,25,10,2,,,51840,,Body Mass,"measured at 15çC, Body mass of Chinese bream investigating specific dynamin action",g,7.77,8,2 (SE),0.42,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,"All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The temperature for the diel fluctuation treatments was 15 and 25 with a 4 hour switch period between them which is why I put ramping. For the time at certain temperatures the fish was tested in I put 51840 minutes (36 hours), 24 hr for acclimation, and 12 hr examination after anethesia.",,
58,20 _ .5,1,10,,20,15,25,10,2,,,51840,,Body Mass,measured at 25çCBody mass of Chinese bream investigating specific dynamin action,g,8.11,8,2 (SE),0.23,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,"All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The temperature for the diel fluctuation treatments was 15 and 25 with a 4 hour switch period between them which is why I put ramping. For the time at certain temperatures the fish was tested in I put 51840 minutes (36 hours), 24 hr for acclimation, and 12 hr examination after anethesia.",,
58,20 _ .5,0,10,,20,15,15,0,,,,51840,,Body Length,Body length of Chinese bream investigating specific dynamin action,cm,7.61,8,2 (SE),0.06,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,"All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. For the time at certain temperatures the fish was tested in I put 51840 minutes (36 hours), 24 hr for acclimation, and 12 hr examination after anethesia.",,
58,20 _ .5,0,10,,20,20,20,0,,,,51840,,Body Length,Body length of Chinese bream investigating specific dynamin action,cm,7.61,8,2 (SE),0.04,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,"All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. For the time at certain temperatures the fish was tested in I put 51840 minutes (36 hours), 24 hr for acclimation, and 12 hr examination after anethesia.",,
58,20 _ .5,0,10,,20,25,25,0,,,,51840,,Body Length,Body length of Chinese bream investigating specific dynamin action,cm,7.74,8,2 (SE),0.07,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,"All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. For the time at certain temperatures the fish was tested in I put 51840 minutes (36 hours), 24 hr for acclimation, and 12 hr examination after anethesia.",,
58,20 _ .5,1,10,,20,15,25,10,2,,,51840,,Body Length,"measured at 15çC, Body length of Chinese bream investigating specific dynamin action",cm,7.55,8,2 (SE),0.15,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,"All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The temperature for the diel fluctuation treatments was 15 and 25 with a 4 hour switch period between them which is why I put ramping. For the time at certain temperatures the fish was tested in I put 51840 minutes (36 hours), 24 hr for acclimation, and 12 hr examination after anethesia.",,
58,20 _ .5,1,10,,20,15,25,10,2,,,51840,,Body Length,"measured at 25çC, Body length of Chinese bream investigating specific dynamin action",cm,7.65,8,2 (SE),0.06,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,"All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The temperature for the diel fluctuation treatments was 15 and 25 with a 4 hour switch period between them which is why I put ramping. For the time at certain temperatures the fish was tested in I put 51840 minutes (36 hours), 24 hr for acclimation, and 12 hr examination after anethesia.",,
